"Argument ID";"Conclusion";"Stance";"Premise";"Self-direction: thought";"Self-direction: action";"Stimulation";"Hedonism";"Achievement";"Power: dominance";"Power: resources";"Face";"Security: personal";"Security: societal";"Tradition";"Conformity: rules";"Conformity: interpersonal";"Humility";"Benevolence: caring";"Benevolence: dependability";"Universalism: concern";"Universalism: nature";"Universalism: tolerance";"Universalism: objectivity"
"A07001";"We should cancel pride parades";"against";"pride parades allow people to make connections and widen their social circles.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A07055";"We should abandon the use of school uniform";"against";"school uniforms are a good way to keep our kids from looking too sexualized from what they wear";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A07070";"Blockade of the Gaza Strip should be ended";"in favor of";"blockading the gaza strip is no longer necessary as both sides have come to an agreement";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A07073";"We should ban the use of child actors";"against";"we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A07100";"We should end racial profiling";"in favor of";"people should not be subject to random police searches just because of the colour of their skin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A09004";"We should ban fast food";"against";"fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12402";"The vow of celibacy should be abandoned";"in favor of";"celibacy is an unnatural state; when sex drive is repressed, it can manifest in dangerous ways.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12443";"Holocaust denial should be a criminal offence";"in favor of";"Holocaust denial encourages violence against Jews in people who believe it. This means it isn't valid free speech or expression.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A15008";"Intelligence tests bring more harm than good";"in favor of";"Intelligence tests have been a tool used by Eugenicists to argue for the culling of certain racial and ethnic groups.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18105";"We should adopt an austerity regime";"in favor of";"we should adopt an austerity regime so that future generations are not left t0 pay the debts that we rack up.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18454";"We should subsidize journalism";"in favor of";"We should subsidize journalism because we need to keep local journalism alive so people are aware of what is going on in their community, but small news papers are struggling the most.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19137";"We should adopt gender-neutral language";"against";"we should not adopt gender-neutral language because the majority of people do identify with a gender and want to be addressed as such.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19138";"Holocaust denial should be a criminal offence";"in favor of";"the holocaust was a real thing that happened where many people died because of a man who wanted to rule the world. to deny that this happened is to say the lives of these innocent people do not matter.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19426";"Social media brings more harm than good";"in favor of";"social media can help to  foster radicalism & extremism";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19484";"We should adopt an austerity regime";"in favor of";"it's about getting the deficit down and engaging in austerity regime, the overall impact on the economy is positive in the short term";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20096";"We should abolish intellectual property rights";"against";"we shouldnt abolish intellectual property rights if you have come up with a new idea for something then it should be exclusive to you and you should be acknowledged for it";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20269";"Blockade of the Gaza Strip should be ended";"against";"we must continue to apply pressure to achieve the objectives that will be the best for both peoples";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20433";"We should prohibit women in combat";"in favor of";"women aren't as physically capable as men so shouldn't be put in danger like that";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20493";"We should abandon marriage";"in favor of";"far too many marriages dissolve before the death of either individual; we might as well get rid of marriages entirely.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21026";"We should end mandatory retirement";"in favor of";"mandatory retirement is a form of discrimination, namely ageism, we cannot allow as a free society discrimination of any kind";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21106";"Intelligence tests bring more harm than good";"in favor of";"intelligence tests bring more harm than good by focusing on strengths and weaknesses.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21206";"We should legalize cannabis";"in favor of";"i think it takes up too much valuable police resources chasing recreational cannabis smokers.also many people with health conditions find cannabis beneficial to them.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21276";"Intelligence tests bring more harm than good";"in favor of";"intelligence tests bring more harm than good since not all intelligence can be tested, for instance, one could be gifted socially and this cannot be tested.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21278";"We should fight for the abolition of nuclear weapons";"against";"we should not fight for the abolition of nuclear weapons since just having nuclear weapons deters another nation from starting a major conflict with us.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21280";"We should abandon the use of school uniform";"in favor of";"school uniforms stifle the ability of kids to be creative in how they dress and express themselves.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22025";"We should subsidize journalism";"in favor of";"subsidizing journalism allows more voices to be heard";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22076";"We should legalize organ trade";"against";"people selling organs will wait for the highest bidder meaning only rich people will be able to afford the organs they desperately need.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22155";"We should ban cosmetic surgery";"against";"everyone should have a right to be happy.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22216";"We should adopt libertarianism";"against";"libertarianism puts too much focus on the individual and can lead to selfishness and not enough focus on society as a whole.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22295";"We should legalize polygamy";"against";"polygamy often takes advantage of underage children";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22370";"Entrapment should be legalized";"in favor of";"entrapment should be legal because it catches criminals that were already looking to commit the crime anyway.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22400";"We should fight urbanization";"in favor of";"urbanization can leave villages and towns as near ghost towns. urbanization can also lead to the break up of families as the elderly and young tend to be left behind.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22486";"We should adopt gender-neutral language";"in favor of";"we should adopt gender-neutral language because gender-neutral language can improve women's status in society";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23280";"Blockade of the Gaza Strip should be ended";"against";"given a country right to security and self-preservation, a blockade could be affected in international waters. This has been practiced for some time now, including when Britain and the U.S. blockaded Germany and Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23305";"We should adopt an austerity regime";"against";"we should not  adopt an austerity regime because it will harm a good process.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23327";"We should adopt a multi-party system";"against";"multi-party systems lead to more corruption and wasted campaign dollars.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23391";"We should ban cosmetic surgery";"in favor of";"a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23398";"We should ban telemarketing";"in favor of";"telemarketing is an irritant, a waste of time,  and gives too many people spam calls which isn't helpful when the person is waiting for  a phone call from a potential employer, etc.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24147";"The vow of celibacy should be abandoned";"in favor of";"the vow of celibacy should be abandoned because it is outdated and usually causes more harm than good because the celibate person looks for release in the wrong places.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24229";"We should limit executive compensation";"against";"executives work hard for their companies and should be compensated accordingly.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24287";"We should abolish the Olympic Games";"against";"the olympic games  are an important celebration of athleticism that the whole world can participate in.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24306";"We should adopt gender-neutral language";"against";"gender characteristics are part of a person's identity, by using gender neutral language we invalidate those characteristics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24350";"We should prohibit flag burning";"in favor of";"flag burning is a big threat to patriotism";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A09088";"We should subsidize vocational education";"in favor of";"vocational education is necessary to ensure that there is not a shortage of qualified trades people in the future, and a subsidy will make this a much more attractive option when deciding a career path.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12199";"We should adopt atheism";"against";"people are entitled to believe in any god that they choose to believe in. as religion offers comfort, aatheism should not be adopted.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12245";"We should adopt atheism";"against";"many people use religion to connect with their family as well as loved ones that are no longer alive - losing this comforting connection would be devastating for some.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19412";"We should abandon television";"against";"television provides entertainment for all ages and can be very enjoyable.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25084";"We should abandon television";"against";"television is an important source of entertainment especially for older people";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25426";"We should abandon television";"against";"Television provides information to those who can not get out of their environment.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12495";"We should ban missionary work";"in favor of";"missionaries try to force their religion or ideas on people that are already happy the way they are.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18283";"We should oppose collectivism";"in favor of";"collectivism and the impingement of the the government results in people blaming others for their problems rather than looking for solutions themselves";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19177";"We should oppose collectivism";"against";"collectivism brings people together";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20279";"Homeschooling should be banned";"in favor of";"homeschooling doesnt get children enough interaction with people so they are more likely to be social outcasts";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22042";"We should oppose collectivism";"against";"In a collectivist society, everyone is considerate of each another and provides support to one another.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23304";"Homeschooling should be banned";"against";"homeschooling is better that state education providing one-to-one learning opportunities they benefit children.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24388";"We should subsidize student loans";"against";"it isn't the obligation of anyone to assist students with the costs of their education.  if a student wants to get an education they have to realize it comes at a cost and won't be given for free.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25432";"Homeschooling should be banned";"in favor of";"children should be allowed to experience interactions with other children, as it helps them develope and grow to be independent adults";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"C26039";"We should restrict minors from playing online games.";"in favor of";"Many teenagers in China use electronic devices to play games as the only entertainment after study. At the same time, the same kind of people in Europe and the United States choose more diverse ways.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"C26081";"We should ease the education involution.";"in favor of";"The most fundamental thing is to improve the basic educational literacy of parents and advocate the educational concept of &quot;how to be a good person is more important than success and happiness is more important than success&quot;.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"D27039";"WikiLeaks is not a bane";"in favor of";"WikiLeaks has won a number of awards, including The Economist's New Media Award in 2008 and Amnesty International's UK Media Award in 2009.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
