Level2_Value	Item	Hypothesis
Achievement	He thinks it is important to be ambitious.	It is important to be ambitious.
Achievement	Being very successful is important to him.	It is important to be very successful.
Achievement	He wants people to admire his achievements.	It is important to be admired for one's achievements.
Achievement	WISDOM (a mature understanding of life)	It is important to have wisdom.
Achievement	WISDOM (a mature understanding of life)	It is important to have a mature understanding of life.
Achievement	AMBITIOUS (hard‑working, aspiring)	It is important to be ambitious.
Achievement	AMBITIOUS (hard‑working, aspiring)	It is important to be hard-working.
Achievement	AMBITIOUS (hard‑working, aspiring)	It is important to be aspiring.
Achievement	CAPABLE (competent, effective, efficient)	It is important to be capable.
Achievement	CAPABLE (competent, effective, efficient)	It is important to be competent.
Achievement	CAPABLE (competent, effective, efficient)	It is important to be effective.
Achievement	CAPABLE (competent, effective, efficient)	It is important to be efficient.
Achievement	SUCCESSFUL (achieving goals)	It is important to be successful.
Achievement	SUCCESSFUL (achieving goals)	It is important to achieve goals.
Achievement	Important child qualities: Determination, perseverance	It is important to have determination.
Achievement	Important child qualities: Determination, perseverance	It is important to have perseverance.
Achievement	A sense of accomplishment (lasting contribution)	It is important to have a sense of accomplishment.
Achievement	A sense of accomplishment (lasting contribution)	It is important to have lasting contribution.
Achievement	Ambitious (hard‑working, aspiring)	It is important to be hard‑working.
Achievement	Capable (competent, effective)	It is important to be capable.
Achievement	Capable (competent, effective)	It is important to be competent.
Achievement	Capable (competent, effective)	It is important to be effective.
Achievement	Courageous (standing up for your beliefs)	It is important to be courageous.
Achievement	Courageous (standing up for your beliefs)	It is important to stand up for your beliefs.
Achievement	Intellectual (intelligent, reflective)	It is important to be intellectual.
Achievement	Intellectual (intelligent, reflective)	It is important to be intelligent.
Achievement	Intellectual (intelligent, reflective)	It is important to be reflective.
Achievement	Challenging myself to achieve	It is important to challenge oneself to achieve.
Achievement	Improving my performance	It is important to improve own performance.
Achievement	Working hard to do better	It is important to work hard to do better.
Achievement	Success according to social standards	It is important to have success according to social standards.
Benevolence: caring	It’s very important to him to help the people dear to him.	It is important to help the people dear to oneself.
Benevolence: caring	Caring for the well-being of people he is close to is important to him.	It is important to care for the well-being of people one is close to.
Benevolence: caring	He tries always to be responsive to the needs of his family and friends.	It is important to be always responsive to the needs of one's own family and friends.
Benevolence: caring	HONEST (genuine, sincere)	It is important to be honest.
Benevolence: caring	HONEST (genuine, sincere)	It is important to be genuine.
Benevolence: caring	HONEST (genuine, sincere)	It is important to be sincere.
Benevolence: caring	HELPFUL (working for the welfare of others)	It is important to be helpful.
Benevolence: caring	HELPFUL (working for the welfare of others)	It is important to work for the welfare of others.
Benevolence: caring	FORGIVING (willing to pardon others)	It is important to be forgiving.
Benevolence: caring	FORGIVING (willing to pardon others)	It is important to pardon others.
Benevolence: caring	FAMILY SECURITY (safety for loved ones)	It is important to have family security.
Benevolence: caring	FAMILY SECURITY (safety for loved ones)	It is important to have safety for loved ones.
Benevolence: caring	Important child qualities: Unselfishness	It is important to be unselfish.
Benevolence: caring	Important in life: Friends	It is important to value friends in life.
Benevolence: caring	Important in life: Family	It is important to value family in life.
Benevolence: caring	Adult children have the duty to provide long-term care for their parents	It is important to provide long-term care for one's own parents.
Benevolence: caring	Family security (taking care of loved ones)	It is important to have family security.
Benevolence: caring	Family security (taking care of loved ones)	It is important to take care of loved ones.
Benevolence: caring	True friendship (close companionship)	It is important to have close companionship.
Benevolence: caring	Forgiving (willing to pardon others)	It is important to be willing to pardon others.
Benevolence: caring	Honest (sincere, truthful)	It is important to be honest.
Benevolence: caring	Honest (sincere, truthful)	It is important to be sincere.
Benevolence: caring	Honest (sincere, truthful)	It is important to be truthful.
Benevolence: caring	Loving (affectionate, tender)	It is important to be loving.
Benevolence: caring	Loving (affectionate, tender)	It is important to be affectionate.
Benevolence: caring	Loving (affectionate, tender)	It is important to be tender.
Benevolence: caring	Being sensitive to others’ needs	It is important to be sensitive to others’ needs.
Benevolence: caring	Helping others	It is important to help others.
Benevolence: caring	Making decisions with my family or group in mind	It is important to make decisions with own family or group in mind.
Benevolence: caring	Being a reliable and trustworthy member of the ingroup	It is important to be a reliable and trustworthy member of the ingroup.
Benevolence: dependability	It is important to him to be loyal to those who are close to him.	It is important to be loyal to those who are close to oneself.
Benevolence: dependability	He goes out of his way to be a dependable and trustworthy friend.	It is important to go out of one's way to be a dependable and trustworthy friend.
Benevolence: dependability	He wants those he spends time with to be able to rely on him completely.	It is important to be completely reliable for those one spends time with.
Benevolence: dependability	LOYAL (faithful to my friends, group)	It is important to be loyal to my friends and group.
Benevolence: dependability	LOYAL (faithful to my friends, group)	It is important to be faithful to my friends and group.
Benevolence: dependability	RESPONSIBLE (dependable, reliable)	It is important to be responsible.
Benevolence: dependability	RESPONSIBLE (dependable, reliable)	It is important to be dependable.
Benevolence: dependability	RESPONSIBLE (dependable, reliable)	It is important to be reliable.
Benevolence: dependability	Important child qualities: Feeling of responsibility	It is important to feel responsibility.
Benevolence: dependability	True friendship (close companionship)	It is important to have true friendship.
Benevolence: dependability	True friendship (close companionship)	It is important to have close companionship.
Benevolence: dependability	Being reliable	It is important to be reliable.
Benevolence: dependability	Being trustworthy	It is important to be trustworthy.
Benevolence: dependability	Devotion to the welfare of ingroup members	It is important to devotion to the welfare of ingroup members.
Conformity: interpersonal	It is important to him to avoid upsetting other people.	It is important to avoid upsetting other people.
Conformity: interpersonal	He thinks it is important never to be annoying to anyone.	It is important to never be annoying to anyone.
Conformity: interpersonal	He always tries to be tactful and avoid irritating people.	It is important to be tactful and avoid irritating people.
Conformity: interpersonal	POLITENESS (courtesy, good manners)	It is important to be polite.
Conformity: interpersonal	POLITENESS (courtesy, good manners)	It is important to have courtesy.
Conformity: interpersonal	POLITENESS (courtesy, good manners)	It is important to have good manners.
Conformity: interpersonal	HONORING OF PARENTS AND ELDERS (showing respect)	It is important to honor parents and elders.
Conformity: interpersonal	HONORING OF PARENTS AND ELDERS (showing respect)	It is important to show respect to parents and elders.
Conformity: interpersonal	One of main goals in life has been to make my parents proud	It is important to make one's own parents proud.
Conformity: interpersonal	Polite (courteous, well-mannered)	It is important to be polite.
Conformity: interpersonal	Polite (courteous, well-mannered)	It is important to be courteous.
Conformity: interpersonal	Polite (courteous, well-mannered)	It is important to be well-mannered.
Conformity: interpersonal	Avoidance of upsetting or harming other people	It is important to avoid upsetting or harming other people.
Conformity: rules	He believes he should always do what people in authority say.	It is important to always do what people in authority say.
Conformity: rules	It is important to him to follow rules even when no one is watching.	It is important to follow rules even when no one is watching.
Conformity: rules	Obeying all the laws is important to him.	It is important to obey all the laws.
Conformity: rules	SELF‑DISCIPLINE (self‑restraint, resistance to temptation)	It is important to have self-discipline.
Conformity: rules	SELF‑DISCIPLINE (self‑restraint, resistance to temptation)	It is important to have self-restraint.
Conformity: rules	SELF‑DISCIPLINE (self‑restraint, resistance to temptation)	It is important to resist temptation.
Conformity: rules	OBEDIENT (dutiful, meeting obligations)	It is important to be obedient.
Conformity: rules	OBEDIENT (dutiful, meeting obligations)	It is important to be dutiful.
Conformity: rules	OBEDIENT (dutiful, meeting obligations)	It is important to meet obligations.
Conformity: rules	Important child qualities: Good manners	It is important to have good manners.
Conformity: rules	Important child qualities: Obedience	It is important to be obedient.
Conformity: rules	Obedient (dutiful, respectful)	It is important to be obedient.
Conformity: rules	Obedient (dutiful, respectful)	It is important to be dutiful.
Conformity: rules	Obedient (dutiful, respectful)	It is important to be respectful.
Conformity: rules	Self-controlled (restrained, self-disciplined)	It is important to be self-controlled.
Conformity: rules	Self-controlled (restrained, self-disciplined)	It is important to be restrained.
Conformity: rules	Self-controlled (restrained, self-disciplined)	It is important to be self-disciplined.
Conformity: rules	Accepting my place in my family or group	It is important to accept my place in my family or group.
Conformity: rules	Meeting my obligations	It is important to meet one's own obligations.
Conformity: rules	Compliance with rules, laws, and formal obligations	It is important to comply with rules, laws, and formal obligations.
Face	It is important to him that no one should ever shame him.	It is important to be never shamed by others.
Face	Protecting his public image is important to him.	It is important to protect one's own public image.
Face	He wants people always to treat him with respect and dignity.	It is important to always be treated with respect and dignity.
Face	PRESERVING MY PUBLIC IMAGE (protecting my "face")	It is important to preserve one's own public image.
Face	PRESERVING MY PUBLIC IMAGE (protecting my "face")	It is important to protect one's own face.
Face	Self-respect (self-esteem)	It is important to have self-respect.
Face	Self-respect (self-esteem)	It is important to have self-esteem.
Face	Social recognition (respect, admiration)	It is important to have social recognition.
Face	Social recognition (respect, admiration)	It is important to be respected.
Face	Social recognition (respect, admiration)	It is important to be admired.
Face	Being liked by others	It is important to be liked by others.
Face	Being accepted by others	It is important to be accepted by others.
Face	Security and power through maintaining one’s public image and avoiding humiliation	It is important to have security and power through maintaining one’s public image and avoiding humiliation.
Hedonism	Having a good time is important to him.	It is important to have a good time.
Hedonism	Enjoying life’s pleasures is important to him.	It is important to enjoy life’s pleasures.
Hedonism	He takes advantage of every opportunity to have fun.	It is important to take advantage of every opportunity to have fun.
Hedonism	Pleasure (gratification of desires)	It is important to have pleasure.
Hedonism	Pleasure (gratification of desires)	It is important to gratify own desires.
Hedonism	ENJOYING LIFE (enjoying food, sex, leisure, etc.)	It is important to enjoy life.
Hedonism	ENJOYING LIFE (enjoying food, sex, leisure, etc.)	It is important to enjoy food.
Hedonism	ENJOYING LIFE (enjoying food, sex, leisure, etc.)	It is important to enjoy sex.
Hedonism	ENJOYING LIFE (enjoying food, sex, leisure, etc.)	It is important to enjoy leisure.
Hedonism	SELF-INDULGENT (doing pleasant things)	It is important to indulge oneself.
Hedonism	SELF-INDULGENT (doing pleasant things)	It is important to do pleasant things.
Hedonism	Happiness (contentedness)	It is important to be happy.
Hedonism	Mature love (sexual and spiritual intimacy)	It is important to have mature love.
Hedonism	Mature love (sexual and spiritual intimacy)	It is important to have sexual and spiritual intimacy.
Hedonism	Pleasure (an enjoyable, leisurely life)	It is important to have pleasure.
Hedonism	Pleasure (an enjoyable, leisurely life)	It is important to have an enjoyable life.
Hedonism	Pleasure (an enjoyable, leisurely life)	It is important to have a leisurely life.
Hedonism	Cheerful (lighthearted, joyful)	It is important to be cheerful.
Hedonism	Cheerful (lighthearted, joyful)	It is important to be lighthearted.
Hedonism	Cheerful (lighthearted, joyful)	It is important to be joyful.
Hedonism	Living in harmony with my spiritual beliefs	It is important to live in harmony with own spiritual beliefs.
Hedonism	Pleasure and sensuous gratification	It is important to have pleasure and sensuous gratification.
Hedonism	Inner harmony (freedom from inner conflict)	It is important to have inner harmony.
Hedonism	Inner harmony (freedom from inner conflict)	It is important to be free from inner conflict.
Humility	He tries not to draw attention to himself.	It is important to not draw attention to oneself.
Humility	It is important to him to be humble.	It is important to be humble.
