Level2_Value	Level1_Value	Example	Hypothesis	Level
Self-direction: thought	Be creative	allowing for more creativity or imagination	It is important to have more creativity or imagination.	0
Self-direction: thought	Be creative	being more creative	It is important to be more creative.	0
Self-direction: thought	Be creative	fostering creativity	It is important to foster creativity.	0
Self-direction: thought	Be creative	being innovative	It is important to be innovative.	0
Self-direction: thought	Be creative	promoting imagination	It is important to promote imagination.	0
Self-direction: thought	Be curious	being the more interesting option	It is important to be the more interesting option.	0
Self-direction: thought	Be curious	fostering curiosity	It is important to foster curiosity.	0
Self-direction: thought	Be curious	making people more keen to learn	It is important to make people more keen to learn.	0
Self-direction: thought	Be curious	promoting discoveries	It is important to promote discoveries.	0
Self-direction: thought	Be curious	sparking interest	It is important to spark interest.	0
Self-direction: thought	Have freedom of thought	allowing people to figure things out on their own	It is important to figure things out on one's own.	0
Self-direction: thought	Have freedom of thought	allowing people to make up their mind	It is important to make up one's own mind.	0
Self-direction: thought	Have freedom of thought	resulting in less censorship	It is important to have less censorship.	0
Self-direction: thought	Have freedom of thought	resulting in less influence on people's thoughts	It is important to have less influence on people's thoughts.	0
Self-direction: action	Be choosing own goals	allowing people to choose what is best for them	It is important to choose what is best for oneself.	0
Self-direction: action	Be choosing own goals	allowing people to decide on their life	It is important to decide on one's own life.	0
Self-direction: action	Be choosing own goals	allowing people to follow their dreams	It is important to follow one's dreams.	0
Self-direction: action	Be independent	allowing people to plan on their own	It is important to plan on one's own.	0
Self-direction: action	Be independent	resulting in fewer times people have to ask for consent	It is important to have fewer times people have to ask for consent.	0
Self-direction: action	Have freedom of action	allowing people to be self-determined	It is important to be self-determined.	0
Self-direction: action	Have freedom of action	allowing people to do things even though this may hurt them in the long run	It is important to do things even though this may hurt oneself in the long run.	0
Self-direction: action	Have freedom of action	resulting in more times people can do what they want	It is important to have more times people can do what they want.	0
Self-direction: action	Have privacy	allowing for private spaces	It is important to have private spaces.	0
Self-direction: action	Have privacy	allowing for time alone	It is important to have time alone.	0
Self-direction: action	Have privacy	resulting in less surveillance	It is important to have less surveillance.	0
Self-direction: action	Have privacy	resulting in more control on what to disclose and to whom	It is important to have more control on what to disclose and to whom.	0
Stimulation	Have an exciting life	allowing people to experience foreign places	It is important to experience foreign places.	0
Stimulation	Have an exciting life	providing perspective-changing experiences	It is important to have perspective-changing experiences.	0
Stimulation	Have an exciting life	providing special activities	It is important to have special activities.	0
Stimulation	Have a varied life	allowing people to change parts of their life	It is important to allow people to change parts of their life.	0
Stimulation	Have a varied life	allowing people to move flat easily	It is important to allow people to move flat easily.	0
Stimulation	Have a varied life	promoting local clubs (sports, ...)	It is important to promote local clubs (sports, ...).	0
Stimulation	Have a varied life	providing many activities	It is important to have many activities.	0
Stimulation	Be daring	allowing for risky actions	It is important to have risky actions.	0
Stimulation	Be daring	allowing to take risks	It is important to take risks.	0
Stimulation	Be daring	being more risky	It is important to be more risky.	0
Stimulation	Be daring	fostering risk-taking	It is important to foster risk-taking.	0
Hedonism	Have pleasure	making life enjoyable	It is important to make life enjoyable.	0
