Argument ID	Premise
A01006	Sometimes economic sanctions are the only thing that will get the corrupt governments to take action.
A01006	Sometimes economic sanctions are the only thing that will get the corrupt governments to take action.
A01006	Sometimes economic sanctions are the only thing that will get corrupt governments to take action.
A01011	Three strike laws can cause young people to be put away for life without a chance to straighten their life out.
A01011	Three strike laws can cause young people to be put away for life without a chance to save their life.
A01011	Three strike laws can cause young people to be put away for life without a chance to go out of their life.
A01018	Economic sanctions provide a non-military sanction to use against countries.
A01018	Economic sanctions provide a non-military sanction to use against countries.
A01018	Economic sanctions provide a non-military sanction to use against countries.
A02003	There are parades for every group and it is discrimination not to give gays their parade.
A02003	There are parades for every group and it is discrimination not to give gays their parade.
A02003	There are parades for every group and it is discrimination to not give gays their parade.
A02012	Telemarketing doesn't differentiate between people who are interested in being called and those who aren't interested.
A02012	Telemarketing does not differentiate between people who are interested in being called and those who are not interested.
A02012	Telemarketing doesn't distinguish between people who are interested in being called and those who aren't interested in being called.
A02019	School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which at an early age people mark out by their differences.
A02019	School prayer is divisive and requires children to either support religion without question or be treated as different if they do not want to attend, which marks people out by their differences at an early age.
A02019	School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which at an early age marks people out by their differences.
A03013	Journalism and free expression of information and the exchange of ideas is a basic human right and subsidizing it would improve its quality and reach.
A03013	Journalism and the free expression of information and the exchange of ideas is a basic human right and a subsidy would improve its quality and reach.
A03013	Journalism and free expression of information and exchange of ideas is a fundamental human right, and subsidizing this would improve its quality and reach.
A03015	Pride parades create a huge disturbance.
A03015	Pride parades create a huge disturbance.
A03015	Pride parades create a huge disturbance.
A04016	Executives deserve the money as they do a stressful and demanding job leading large organizations that hire a large number of people.
A04016	Managers deserve the money as they do a stressful and demanding job leading large organizations that hire a large number of people.
A04016	Managers deserve the money because they do a stressful and demanding job leading large organizations that hire a large number of people.
A05017	Cosmetic surgery is unnecessary and dangerous.
A05017	Cosmetic surgery is unnecessary and dangerous.
A05017	Cosmetic surgery is unnecessary and dangerous.
A05022	We should adopt gender neutral language because it avoids people with gender stereotypes.
A05022	We should adopt gender-neutral language because it avoids people with gender stereotypes.
A05022	We should adopt gender-neutral language because it avoids offending people with gender stereotypes.
A05033	This research is very controversial and against many religions.
A05033	This research is very controversial and against many religions.
A05033	This research is very controversial and against many religions.
A05044	The judges aren't the ones shaping the laws, they are not the people for whom the laws are voted for. judicial activism has to be limited to only check for overuse of power by governments.
A05044	"Neither are activists judges the ones who shape the laws, they are not ""all"" the people for whom the laws are voted for. Judiciary activism has to be limited to only check for overuse of power by governments."
A05044	" activists'judges are not the ones shaping the laws, they are not ""all"" the people for whom the laws are voted for.  Judiciary activism has to be limited to only check for overuse of power by governments."
A05047	Treating everyone as a large group is not helpful for people who have different individual needs.
A05047	For people who have different individual needs, treating everyone as a large group unit is not helpful.
A05047	Treating everyone as a large group unit is not helpful for people who have different individual needs.
A05053	The compulsory voting makes for more informed voters.
A05053	Voting compulsory makes for more informed voters.
A05053	A compulsory voting makes for more informed voters.
A05058	Pride parades encourage people to claim the rights and freedoms they are entitled to.
A05058	Pride parades encourage people to claim the rights and freedoms to which they are entitled.
A05058	Pride parades encourage people to claim the rights and freedoms they are entitled to.
A05068	Killing targeted people should not be banned because it means that dangerous people can be stopped from injuring other people.
A05068	Targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.
A05068	Killing should not be banned because it means that dangerous people can be stopped from hurting others.
A05071	Human cloning should be banned because it allows designers to be grown according to parents'wishes.
A05071	Human cloning should be banned because it allows designers to be grown according to the parents' wishes.
A05071	Human cloning should be banned because it allows designer humans to be grown according to parents wishes.
A05080	We should not ban telemarketing because it allows people to learn about new products or services from the comfort of their own homes.
A05080	We should not ban telemarketing as it allows people to learn about new products or services from the comfort of their own homes.
A05080	Telemarketing should not be banned as it allows people to learn about new products or services from the comfort of their own homes.
A05083	Legalizing prostitution will ensure the safety of both the sex trade worker and the client.
A05083	Legalizing prostitution will ensure the safety of both the sex trade worker and client.
A05083	Legalising prostitution will ensure the safety of both the sex trade worker and client.
A05086	Telemarketing is intrusive, annoying and violates privacy.
A05086	Telemarketing is intrusive, annoying and violates the privacy of a person.
A05086	Telemarketing is intrusive, annoying and violates privacy.
A05088	If you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and your coloring, which allows you to look your best.
A05088	If you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and your color, which allows you to look your best.
A05088	If you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and your coloring, which allows you to look your best.
A05090	Forcing children to wear school uniforms shows our children that they cannot think as individuals and must conform to society's way of thinking.
A05090	Having children wearing school uniforms shows our children that they cannot think as individuals and must conform to the way of thinking of society.
A05090	Indulging children into wearing school uniforms shows our children that they cannot think as individuals and must conform to the society's way of thinking.
A05091	Nuclear weapons can bring about a certain level of respect.
A05091	Nuclear weapons can bring about a certain level of respect.
A05091	Nuclear weapons can bring about a certain level of respect.
A05093	Child actors lose the sense of a proper childhood.
A05093	The child actors lose the sense of a proper childhood.
A05093	Child actors lose the sense of a proper childhood.
A05095	We need the three strikes as a deterrent.
A05095	We need the three strikes as a deterrent.
A05095	We need the three strikes as a deterrent.
A06011	Economic sanctions are unethical to the economies of smaller, underdeveloped countries.
A06011	Economic sanctions are unethical to the economies of smaller, underdeveloped countries.
A06011	Economic sanctions are unethical to the economies of smaller, underdeveloped countries.
A06020	Pride marches are a crucial part of gay visibility and the fight for equality to ensure that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.
A06020	Pride marches are a crucial part of gay visibility and the fight for equality, to ensure that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.
A06020	Pride marches are a crucial part of gay visibility and the fight for equality, to ensure that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.
A07001	Pride parades allow people to make connections and widen their social circles.
A07001	Pride parades allow people to make connections and widen their social circles.
A07001	Pride parades allow people to make connections and expand their social circles.
A07006	People should keep their religion to themselves.
A07006	People should keep their religion to themselves.
A07006	People should keep their religion to themselves.
A07009	Only governments with armies can be trusted, so we should ban private military companies.
A07009	Only governments can be trusted with armies, so we should ban private military companies.
A07009	Only governments with armies can be trusted so we should ban private military companies.
A07016	The factory farming treats animals inhumanly, which is wrong and immoral.
A07016	The factory farming treats animals inhumanly, which is wrong and immoral.
A07016	Animals are treated inhumanly by factory farming, which is wrong and immoral.
A07022	There are today far more than two genders and so gender-neutral language only makes sense.
A07022	Today there are far more than two genders and therefore gender-neutral language only makes sense.
A07022	There are now far more than two genders and gender-neutral language makes sense only.
A07023	People need to adapt to the world in which they live and stop trying to always seek protection from the things they don't like.
A07023	Safe places are not needed. People need to adapt to the world in which they live and stop trying to always seek protection from things they don't like.
A07023	People need to adapt to the world in which they live and stop trying to always seek protection from things they don't like.
A07026	Multi-party systems offer more choices and more representation to voters.
A07026	Multi-party systems offer more choices and more representation to voters.
A07026	Multi-party systems offer voters more choices and more representation.
A07031	We cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so they can earn a living in their fields.
A07031	We cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so they can earn a living in their fields.
A07031	We cannot abolish intellectual property rights, because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields.
A07032	With so much sexual freedom in these days, prostitution should now be legal.
A07032	With so much sexual freedom, prostitution should now be legal.
A07032	With so much sexual freedom in these days, prostitution should now be legal.
A07034	Cannabis especially the Skunk variety can be very harmful to people and can lead them to use harder drugs, so it should be illegal.
A07034	Cannabis especially the skunk variety can be very harmful to people and can lead to them using harder drugs, therefore it should be illegal.
A07034	Cannabis especially the skunk variety can be very harmful to people and can lead to them using harder drugs, so it should be illegal.
A07036	judicial activism relies too heavily on personal opinion and leads to bias.
A07036	Judiciary activism relies too heavily on personal opinion and leads to bias.
A07036	Judiciary activism relies too heavily on personal opinion and leads to bias.
A07037	We all have the right to eat what we want, to prohibit a specific type of food is an abuse of power.
A07037	We all have the right to eat what we want, to prohibit a specific type of food is an abuse of power.
A07037	We all have the right to eat what we want, to prohibit a specific type of food is an abuse of power.
A07038	Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.
A07038	Allowing students to make their own choices about the clothes they wear prepares them for the adult world.
A07038	Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.
A07039	Missionaries are intrusive to other countries and very invasive to culture.
A07039	Missionaries are intrusive to other countries and very invasive to culture.
A07039	Missionaries are intrusive to other countries and very invasive to the culture.
A07043	Cosmetic surgery exists for vanity purposes, and doctors who offer the service should focus on treating people with real illnesses.
A07043	Cosmetic surgery exists for vanity purposes, and doctors who offer the service should focus on treating people with real illnesses.
A07043	Cosmetic surgery exists for vanity purposes. Doctors who offer the service should focus on treating people with real illnesses.
A07049	The right to keep and bear arms is protected by our government and should be like that so people can defend themselves.
A07049	The right to keep and bear arms is protected by our government and should be like that so people can defend themselves.
A07049	The right to keep and bear arms is protected by our government and should be like that so that people can defend themselves.
A07050	Cannabis should be legalized because it is no worse than alchohol.
A07050	Cannabis should be legalized because it is no worse than alchohol.
A07050	Cannabis should be legalized because it is no worse than alchohol.
A07051	We should continue to support Pride Parades because everyone has the right to do what they want as long as it does not harm others.
A07051	We should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.
A07051	We should continue to support Pride Parades because everyone has the right to do what they want, as long as it does not harm others.
A07053	We should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.
A07053	We should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.
A07053	We should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the full order has been produced.
A07055	School uniforms are a good way to keep our kids from looking too sexualized by what they wear.
A07055	School uniforms are a good way to keep our kids from looking too sexualized from what they wear.
A07055	School uniforms are a good way to keep our kids from looking too sexualized by what they wear.
A07057	Gender selection is essentially playing the god.
A07057	Gender selection is essentially a game of god.
A07057	Gender selection is essentially playing god.
A07059	Animals in zoos have been repeatedly found to be malnourished and mistreated.
A07059	Animals in zoos have been repeatedly found to be malnourished and mistreated.
A07059	Animals in zoos have been repeatedly found to be malnourished and mistreated.
A07066	Not all television and movies are going to be adults only, we need child actors to show the world as it is.
A07066	Not all tv and movies will be adults, we only need child actors to show the world as it is.
A07066	Not all tv and movies are going to be adults, we need child actors to show the world as it is.
A07067	Justiciable activism allows for common sense to be applied where necessary.
