Level1 ID	Level1 Hypothesis	Level0 Hypothesis
1	Be creative	allowing for more creativity or imagination
1	Be creative	being more creative
1	Be creative	fostering creativity
1	Be creative	being innovative
1	Be creative	promoting imagination
2	Be curious	being the more interesting option
2	Be curious	fostering curiosity
2	Be curious	making people more keen to learn
2	Be curious	promoting discoveries
2	Be curious	sparking interest
3	Have freedom of thought	allowing people to figure things out on their own
3	Have freedom of thought	allowing people to make up their mind
3	Have freedom of thought	resulting in less censorship
3	Have freedom of thought	resulting in less influence on people's thoughts
4	Be choosing own goals	allowing people to choose what is best for them
4	Be choosing own goals	allowing people to decide on their life
4	Be choosing own goals	allowing people to follow their dreams
5	Be independent	allowing people to plan on their own
5	Be independent	resulting in fewer times people have to ask for consent
6	Have freedom of action	allowing people to be self-determined
6	Have freedom of action	allowing people to do things even though this may hurt them in the long run
6	Have freedom of action	resulting in more times people can do what they want
7	Have privacy	allowing for private spaces
7	Have privacy	allowing for time alone
7	Have privacy	resulting in less surveillance
7	Have privacy	resulting in more control on what to disclose and to whom
8	Have an exciting life	allowing people to experience foreign places
8	Have an exciting life	providing perspective-changing experiences
8	Have an exciting life	providing special activities
9	Have a varied life	allowing people to change parts of their life
9	Have a varied life	allowing people to move flat easily
9	Have a varied life	promoting local clubs (sports, ...)
9	Have a varied life	providing many activities
10	Be daring	allowing for risky actions
10	Be daring	allowing to take risks
10	Be daring	being more risky
10	Be daring	fostering risk-taking
11	Have pleasure	making life enjoyable
11	Have pleasure	providing leisure
11	Have pleasure	providing opportunities to have fun
11	Have pleasure	providing sensuous gratification
12	Be ambitious	allowing for ambitions
12	Be ambitious	being more ambitious
12	Be ambitious	fostering ambition
12	Be ambitious	providing incentives for the difficult climb up the social ladder
13	Have success	allowing for success
13	Have success	being more successful
13	Have success	recognizing achievements
14	Be capable	allowing to acquire competence in certain tasks
14	Be capable	being more effective
14	Be capable	resulting in a higher effectivity
14	Be capable	showing competence in solving tasks
15	Be intellectual	allowing to acquire high cognitive skills
15	Be intellectual	being more reflective
15	Be intellectual	resulting in more reflective behavior
15	Be intellectual	showing intelligence
16	Be courageous	being more courageous
16	Be courageous	fostering courage
16	Be courageous	making people stand up for their beliefs
16	Be courageous	promoting courage
16	Be courageous	showing courage
17	Have influence	having more people to ask for a favor
17	Have influence	resulting in more influence
17	Have influence	resulting in more obligations towards the own side
17	Have influence	resulting in more ways to control events
18	Have the right to command	allowing experts to tell others what to do
18	Have the right to command	allowing people to take command
18	Have the right to command	fostering leadership
18	Have the right to command	resulting in clearer hierarchies of command
19	Have wealth	allowing people to gain wealth
19	Have wealth	allowing to show one's wealth
19	Have wealth	allowing to use money for power
19	Have wealth	providing people with resources to control events
19	Have wealth	resulting in financial prosperity
20	Have social recognition	allowing people to gain respect
20	Have social recognition	avoiding humiliation
