,arg
873,Is that nan?
225,Is that nan?
15,we should not subsidize vocational education because the responsibility should only fall on those who are wanting to go to school
578,It's nan.
39,threestrikes laws act as a very effective deterrent to crime and this zero tolerance approach has been been responsible for making cities far safer
16,There is a person named nan.
976,There is a person named nan.
2,It's nan.
94,There is a person named nan.
866,It's nan.
634,There is a person named nan.
896,It's nan.
855,Is that nan?
405,Is that nan?
1006,There is a person named nan.
886,There is a person named nan.
796,There is a person named nan.
639,Is that nan?
316,There is a person named nan.
579,Is that nan?
622,There is a person named nan.
632,It's nan.
530,It's nan.
705,Is that nan?
46,There is a person named nan.
430,There is a person named nan.
944,It's nan.
783,Is that nan?
273,Is that nan?
158,It's nan.
694,There is a person named nan.
358,There is a person named nan.
380,It's nan.
261,Is that nan?
982,There is a person named nan.
519,Is that nan?
908,It's nan.
675,Is that nan?
458,It's nan.
532,There is a person named nan.
644,It's nan.
550,There is a person named nan.
854,It's nan.
19,more political parties give people more of a choice to support what they believe in
669,Is that nan?
21,Is that nan?
688,There is a person named nan.
471,Is that nan?
699,Is that nan?
850,There is a person named nan.
423,Is that nan?
885,Is that nan?
292,There is a person named nan.
25,assisted suicide should be a criminal offence because is aginst the life of person
489,Is that nan?
42,telemarketing should be banned because it is just plain annoying  if someone really wants a product they will go buy it and not wait for someone to call them about it
608,It's nan.
956,It's nan.
848,It's nan.
706,There is a person named nan.
544,There is a person named nan.
218,It's nan.
160,There is a person named nan.
483,Is that nan?
657,Is that nan?
256,There is a person named nan.
31,we can not allow the cloning of humans it goes against the laws of god and the laws of nature
135,Is that nan?
518,It's nan.
255,Is that nan?
633,Is that nan?
326,It's nan.
22,There is a person named nan.
418,There is a person named nan.
24,people are entitled to believe in any god that they choose to believe in as religion offers comfort aatheism should not be adopted
17,graduates should not have to start their career with a massive debt to pay off
382,There is a person named nan.
40,There is a person named nan.
406,There is a person named nan.
964,There is a person named nan.
440,It's nan.
812,It's nan.
801,Is that nan?
98,It's nan.
268,There is a person named nan.
376,There is a person named nan.
93,Is that nan?
23,people are more likely to share their organs if there is financial benefit to them increasing supply
464,It's nan.
507,Is that nan?
502,There is a person named nan.
5,military companies put their employees at unnecessary risk and should be banned
141,Is that nan?
45,the harm against the citizens of gaza is justified because those citizens democratically elected hamas into power and endorsed the actions of hamas against israel
364,There is a person named nan.
542,It's nan.
16,stayathome dads provide care for their children but they still require an income since females who work are not paid as much as men in the same jobs
4,There is a person named nan.
753,Is that nan?
730,There is a person named nan.
3,it is a platform that can harbor bullying and intimidation
453,Is that nan?
398,It's nan.
28,There is a person named nan.
302,It's nan.
968,It's nan.
129,Is that nan?
824,It's nan.
512,It's nan.
29,surrogacy is hugely emotionally damaging on the birth mother and is often only resorted to as a result of financial hardship
399,Is that nan?
352,There is a person named nan.
26,making assisted suicide legal would put too much pressure on people with serious medical conditions to end their life so that they are not a burden to others
7,we need to leave urbanization as is at let rural areas expand so that we have enough crops to support the increasing number of humans
272,It's nan.
9,Is that nan?
124,There is a person named nan.
37,blockading the gaza strip is no longer necessary as both sides have come to an agreement
224,It's nan.
957,Is that nan?
146,It's nan.
734,It's nan.
136,There is a person named nan.
506,It's nan.
315,Is that nan?
260,It's nan.
404,It's nan.
658,There is a person named nan.
196,There is a person named nan.
297,Is that nan?
760,There is a person named nan.
788,It's nan.
490,There is a person named nan.
524,It's nan.
748,There is a person named nan.
934,There is a person named nan.
190,There is a person named nan.
752,It's nan.
44,It's nan.
772,There is a person named nan.
363,Is that nan?
244,There is a person named nan.
285,Is that nan?
452,It's nan.
777,Is that nan?
446,It's nan.
296,It's nan.
213,Is that nan?
932,It's nan.
620,It's nan.
729,Is that nan?
716,It's nan.
116,It's nan.
663,Is that nan?
57,Is that nan?
615,Is that nan?
963,Is that nan?
147,Is that nan?
554,It's nan.
592,There is a person named nan.
724,There is a person named nan.
830,It's nan.
573,Is that nan?
482,It's nan.
585,Is that nan?
794,It's nan.
591,Is that nan?
36,there have been too many terrible shootings where the perpetrator has found it easy to amass weapons making th is harder may limit these shootings
188,It's nan.
416,It's nan.
560,It's nan.
27,Is that nan?
130,There is a person named nan.
513,Is that nan?
832,There is a person named nan.
434,It's nan.
740,It's nan.
208,There is a person named nan.
441,Is that nan?
789,Is that nan?
38,judicial activism should be limited to avoid violence among the opposition
628,There is a person named nan.
304,There is a person named nan.
501,Is that nan?
201,Is that nan?
813,Is that nan?
202,There is a person named nan.
710,It's nan.
758,It's nan.
154,There is a person named nan.
759,Is that nan?
100,There is a person named nan.
195,Is that nan?
387,Is that nan?
958,There is a person named nan.
104,It's nan.
843,Is that nan?
495,Is that nan?
717,Is that nan?
153,Is that nan?
274,There is a person named nan.
314,It's nan.
400,There is a person named nan.
849,Is that nan?
